结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-05-18 00:00.,2013,222.50.124.94,NULL,weibo.com,weibo.com,广东铁通TOPn网站,0.47,38.94,54.54,93.95,605.92,801.51,801.51,91.33,73.5,100,100,100,100,100,180.149.134.17,中国,北京, 电信,55.3,53.6,200,4,4
2013-05-18 00:00.,1006,222.50.124.42,NULL,xyxy.net,xyxy.net,NULL,0.49,59.2,60.44,420.23,2809.34,3789.62,4016.76,111.4,67.7,100,96,100,96,100,219.232.243.218,中国,北京, 其它运营商,312.9,306,200,25,25
2013-05-18 00:00.,1002,222.50.124.38,NULL,27.cn,27.cn,NULL,0.63,51.91,53.43,319.05,7857.65,12051.69,12900.35,132.51,67.4,100,100,100,100,100,219.232.241.149,中国,北京, 其它运营商,1041.2,2206,200,50,94
2013-05-18 00:00.,2009,222.50.124.78,NULL,anquanweb.com,anquanweb.com,NULL,0.44,26.34,29.32,136.27,1142.75,1566.72,1622.68,39.81,61.2,100,100,100,100,100,223.4.24.61,中国,浙江, 移动,45.5,39.8,200,17,17
2013-05-18 00:00.,2013,222.50.124.94,NULL,yesky.com,yesky.com,NULL,0.79,32.05,73.73,865.41,38001.36,42789.74,44362.14,28.77,35.4,100,99.59,100,99.59,0,219.239.88.110,中国,北京, 移动,1093.3,1889.7,301,50,241
2013-05-18 00:00.,2011,222.50.124.86,NULL,778669.com,778669.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2012,222.50.124.90,NULL,xcar.com.cn,xcar.com.cn,广东铁通TOPn网站,0.48,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,118.67.112.72,中国,北京, 其它运营商,NULL,NULL,NULL,1,1
2013-05-18 00:00.,1005,222.50.124.34,NULL,dygod.net,dygod.net,NULL,0.43,1.03,137.72,595.44,1194.24,1809.47,1973.23,68.36,64.7,100,100,100,100,100,123.183.211.135,中国,河北, 电信,81.6,78.4,301,10,10
2013-05-18 00:00.,1008,222.50.124.46,NULL,70e.com,70e.com,广东铁通TOPn网站,0.47,91.58,87.05,468.13,2769.91,3527.18,3869.59,91.27,64.2,100,100,100,100,100,54.248.39.145,美国,NULL, 其它运营商,252.8,247.5,301,22,22
2013-05-18 00:00.,2006,222.50.124.66,NULL,uuu9.com,uuu9.com,NULL,0.42,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,113.107.160.138,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,1010,222.50.124.6,NULL,exam8.com,exam8.com,NULL,0.27,73.7,132.4,740.85,6292.66,8539.18,9203.23,162.29,69.7,100,100,100,100,100,222.73.10.180,中国,上海, 电信,1021.2,1014.3,301,50,68
2013-05-18 00:00.,2013,222.50.124.94,NULL,cncmax.cn,cncmax.cn,NULL,0.23,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,202.106.62.19,中国,北京, 联通,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2018,222.50.124.114,NULL,kaixin001.com,kaixin001.com,NULL,0.44,39.38,40.17,317.49,1782.78,2149.42,2304.86,390.59,88.3,100,100,100,100,100,27.131.222.21,中国,北京, 其它运营商,696.3,690.8,302,16,16
2013-05-18 00:00.,1012,222.50.124.14,NULL,im286.com,im286.com,NULL,0.71,31.89,33.16,395.06,2451.46,3033.12,3440.85,182.9,82.4,100,100,100,100,100,61.191.61.188,中国,安徽, 电信,448.4,439.2,301,31,31
2013-05-18 00:00.,2019,222.50.124.118,NULL,baihe.com,baihe.com,NULL,0.5,35.32,36.61,214.98,22976.33,24202.58,24582.37,10.85,37.7,100,96.55,100,96.55,100,211.151.249.53,中国,北京, 联通,249.3,238.8,200,29,29
2013-05-18 00:00.,2007,222.50.124.70,NULL,uuzu.com,uuzu.com,NULL,0.45,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,122.226.73.104,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,2019,222.50.124.118,NULL,douban.com,douban.com,NULL,0.47,33.27,34.06,472.58,847.16,1317.9,1380.56,49.43,67.5,100,100,100,100,100,211.147.4.31,中国,北京, 移动,41.9,33.8,301,14,14
2013-05-18 00:00.,1002,222.50.124.38,NULL,amazon.cn,amazon.cn,NULL,0.25,41.69,45.1,714.42,8171.15,6299.5,9953.66,62.77,55.7,100,100,100,100,100,203.81.17.246,中国,北京, 移动,512.9,500,301,29,29
2013-05-18 00:00.,2018,222.50.124.114,NULL,xdowns.com,xdowns.com,NULL,2.06,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,218.93.127.235,中国,江苏, 电信,NULL,NULL,NULL,1,1
2013-05-18 00:00.,1015,222.50.124.54,NULL,yingjiesheng.com,yingjiesheng.com,NULL,0.52,33.22,73.6,568.02,10500.5,12952.28,13565.74,98.06,58.3,100,96.55,100,96.55,100,61.147.125.16,中国,江苏, 电信,1029.7,1226,301,50,87
2013-05-18 00:00.,1011,222.50.124.10,NULL,acs86.com,acs86.com,广东铁通TOPn网站,0.93,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,100,0,0,0,0,117.79.81.135,中国,北京, 其它运营商,NULL,0.2,403,1,1
2013-05-18 00:00.,2008,222.50.124.74,NULL,huanqiu.com,huanqiu.com,NULL,0.43,32.97,33.22,308.86,3027.7,4218.76,4547.65,78.14,63,100,77.14,100,77.14,0,114.111.161.206,中国,上海, 铁通,236.6,226.4,301,35,35
2013-05-18 00:00.,2013,222.50.124.94,NULL,tianya.cn,tianya.cn,NULL,0.24,11.97,71.67,123.35,603.78,834.79,902.56,154.76,80,100,92.31,100,92.31,100,221.182.218.206,中国,海南, 移动,93.4,89.5,301,13,13
2013-05-18 00:00.,2013,222.50.124.94,NULL,70e.com,70e.com,广东铁通TOPn网站,0.25,87.9,88.04,176.19,88.04,176.19,176.19,2.57,58.9,100,50,100,50,0,54.248.39.145,美国,NULL, 其它运营商,0.2,NULL,301,2,2
2013-05-18 00:00.,2006,222.50.124.66,NULL,youku.com,youku.com,NULL,0.42,90.02,90.51,383.71,5140.77,7314.63,7816.68,199.58,74.5,100,98.86,100,98.86,100,123.126.99.31,中国,北京, 联通,1026,1360.2,302,50,88
2013-05-18 00:00.,2010,222.50.124.82,NULL,alisoft.com,alisoft.com,NULL,0.46,21.83,22.08,98.59,1003.57,1408.29,1453.09,234.45,88.9,100,100,100,100,100,110.75.216.170,中国,浙江, 移动,235.3,229.2,302,18,18
